state,district,category,type,crimes,year
Johor,Batu Pahat,assault,robbery_solo_unarmed,33,2020
Johor,Batu Pahat,assault,robbery_solo_unarmed,11,2021
Johor,Batu Pahat,assault,robbery_solo_unarmed,12,2022
Johor,Batu Pahat,property,all,621,2016
Johor,Batu Pahat,property,all,558,2017
Johor,Batu Pahat,property,all,584,2018
Johor,Batu Pahat,property,all,524,2019
Johor,Batu Pahat,property,all,415,2020
Johor,Batu Pahat,property,all,200,2021
Johor,Batu Pahat,property,all,262,2022
Johor,Batu Pahat,property,break_in,115,2016
Johor,Batu Pahat,property,break_in,90,2017
Johor,Batu Pahat,property,break_in,158,2018
Johor,Batu Pahat,property,break_in,157,2019
Johor,Batu Pahat,property,break_in,122,2020
Johor,Batu Pahat,property,break_in,55,2021
Johor,Batu Pahat,property,break_in,80,2022
Johor,Batu Pahat,property,theft_other,192,2016
Johor,Batu Pahat,property,theft_other,119,2017
Johor,Batu Pahat,property,theft_other,140,2018
Johor,Batu Pahat,property,theft_other,127,2019
Johor,Batu Pahat,property,theft_other,122,2020
Johor,Batu Pahat,property,theft_other,72,2021
Johor,Batu Pahat,property,theft_other,83,2022
Johor,Batu Pahat,property,theft_vehicle_lorry,16,2016
Johor,Batu Pahat,property,theft_vehicle_lorry,10,2017
Johor,Batu Pahat,property,theft_vehicle_lorry,15,2018
Johor,Batu Pahat,property,theft_vehicle_lorry,4,2019
Johor,Batu Pahat,property,theft_vehicle_lorry,12,2020
Johor,Batu Pahat,property,theft_vehicle_lorry,2,2021
Johor,Batu Pahat,property,theft_vehicle_lorry,7,2022
Johor,Batu Pahat,property,theft_vehicle_motorcar,41,2016
Johor,Batu Pahat,property,theft_vehicle_motorcar,52,2017
Johor,Batu Pahat,property,theft_vehicle_motorcar,46,2018
Johor,Batu Pahat,property,theft_vehicle_motorcar,28,2019
Johor,Batu Pahat,property,theft_vehicle_motorcar,38,2020
Johor,Batu Pahat,property,theft_vehicle_motorcar,12,2021
Johor,Batu Pahat,property,theft_vehicle_motorcar,16,2022
Johor,Batu Pahat,property,theft_vehicle_motorcycle,257,2016
Johor,Batu Pahat,property,theft_vehicle_motorcycle,287,2017
Johor,Batu Pahat,property,theft_vehicle_motorcycle,225,2018
Johor,Batu Pahat,property,theft_vehicle_motorcycle,208,2019
Johor,Batu Pahat,property,theft_vehicle_motorcycle,121,2020
Johor,Batu Pahat,property,theft_vehicle_motorcycle,59,2021
Johor,Batu Pahat,property,theft_vehicle_motorcycle,76,2022
Johor,Iskandar Puteri,assault,all,0,2016
Johor,Iskandar Puteri,assault,all,195,2017
Johor,Iskandar Puteri,assault,all,149,2018
Johor,Iskandar Puteri,assault,all,170,2019
Johor,Iskandar Puteri,assault,all,96,2020
Johor,Iskandar Puteri,assault,all,68,2021
Johor,Iskandar Puteri,assault,all,80,2022
Johor,Iskandar Puteri,assault,causing_injury,0,2016
Johor,Iskandar Puteri,assault,causing_injury,54,2017
Johor,Iskandar Puteri,assault,causing_injury,61,2018
Johor,Iskandar Puteri,assault,causing_injury,46,2019
Johor,Iskandar Puteri,assault,causing_injury,23,2020
Johor,Iskandar Puteri,assault,causing_injury,20,2021
Johor,Iskandar Puteri,assault,causing_injury,30,2022
Johor,Iskandar Puteri,assault,murder,0,2016
Johor,Iskandar Puteri,assault,murder,4,2017
Johor,Iskandar Puteri,assault,murder,4,2018
Johor,Iskandar Puteri,assault,murder,4,2019
Johor,Iskandar Puteri,assault,murder,3,2020
Johor,Iskandar Puteri,assault,murder,2,2021
Johor,Iskandar Puteri,assault,murder,3,2022
Johor,Iskandar Puteri,assault,rape,0,2016
Johor,Iskandar Puteri,assault,rape,9,2017
Johor,Iskandar Puteri,assault,rape,13,2018
Johor,Iskandar Puteri,assault,rape,16,2019
Johor,Iskandar Puteri,assault,rape,9,2020
Johor,Iskandar Puteri,assault,rape,4,2021
Johor,Iskandar Puteri,assault,rape,9,2022
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2016
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2017
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2018
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2019
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2020
Johor,Iskandar Puteri,assault,robbery_gang_armed,1,2021
Johor,Iskandar Puteri,assault,robbery_gang_armed,0,2022
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,0,2016
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,102,2017
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,53,2018
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,74,2019
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,17,2020
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,31,2021
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,21,2022
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2016
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2017
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2018
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2019
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2020
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2021
Johor,Iskandar Puteri,assault,robbery_solo_armed,0,2022
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,0,2016
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,26,2017
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,18,2018
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,30,2019
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,44,2020
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,10,2021
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,17,2022
Johor,Iskandar Puteri,property,all,0,2016
Johor,Iskandar Puteri,property,all,727,2017
Johor,Iskandar Puteri,property,all,784,2018
Johor,Iskandar Puteri,property,all,784,2019
Johor,Iskandar Puteri,property,all,538,2020
Johor,Iskandar Puteri,property,all,332,2021
Johor,Iskandar Puteri,property,all,356,2022
Johor,Iskandar Puteri,property,break_in,0,2016
Johor,Iskandar Puteri,property,break_in,92,2017
Johor,Iskandar Puteri,property,break_in,47,2018
Johor,Iskandar Puteri,property,break_in,76,2019
Johor,Iskandar Puteri,property,break_in,77,2020
Johor,Iskandar Puteri,property,break_in,68,2021
Johor,Iskandar Puteri,property,break_in,77,2022
Johor,Iskandar Puteri,property,theft_other,0,2016
Johor,Iskandar Puteri,property,theft_other,151,2017
Johor,Iskandar Puteri,property,theft_other,176,2018
Johor,Iskandar Puteri,property,theft_other,228,2019
Johor,Iskandar Puteri,property,theft_other,156,2020
Johor,Iskandar Puteri,property,theft_other,114,2021
Johor,Iskandar Puteri,property,theft_other,125,2022
Johor,Iskandar Puteri,property,theft_vehicle_lorry,0,2016
Johor,Iskandar Puteri,property,theft_vehicle_lorry,17,2017
Johor,Iskandar Puteri,property,theft_vehicle_lorry,20,2018
